Sample,Area,Year,Month,Month2,LCFmm,TLmm,TLcm,leng,Sex,opaque,Edge,Agemonths,Agemonths2,AgeYears,AdjAge,AdjAgeBirthDate,Cohorts,YrClass
SW970409-4,sw,1997,April,4,410,484,48,50,f,-9,na,-9,-9,-9,5.7,5,6,1991
sw970409-5,sw,1997,April,4,536,633,63,65,f,-9,na,-9,-9,-9,6.7,6,7,1990
sw970409-6,sw,1997,April,4,375,443,44,45,f,-9,na,-9,-9,-9,6.7,6,7,1990
SW970409-19,sw,1997,April,4,585,690,69,70,f,-9,na,-9,-9,-9,7.7,7,8,1989
sw970409-7,sw,1997,April,4,592,699,70,70,f,-9,na,-9,-9,-9,7.7,7,8,1989
sw970409-10,sw,1997,April,4,600,708,71,70,f,-9,na,-9,-9,-9,9.7,9,10,1987
sw970409-2,sw,1997,April,4,672,793,79,80,f,-9,na,-9,-9,-9,13.7,13,14,1983
sw970409-12,sw,1997,April,4,703,829,83,85,m,-9,na,-9,-9,-9,15.7,15,16,1981
sw970409-27,sw,1997,April,4,750,885,88,90,m,-9,na,-9,-9,-9,15.7,15,16,1981
sw970409-15,sw,1997,April,4,675,796,80,80,m,-9,na,-9,-9,-9,16.7,16,17,1980
sw970409-9,sw,1997,April,4,670,791,79,80,f,-9,na,-9,-9,-9,16.7,16,17,1980
sw970409-14,sw,1997,April,4,702,828,83,85,m,-9,na,-9,-9,-9,18.7,18,19,1978
sw970409-26,sw,1997,April,4,730,861,86,85,m,-9,na,-9,-9,-9,18.7,18,19,1978
SW970409-33,sw,1997,April,4,690,814,81,80,m,-9,na,-9,-9,-9,18.7,18,19,1978
sw970409-8,sw,1997,April,4,750,885,88,90,f,-9,na,-9,-9,-9,22.7,22,23,1974
SW970409-32,sw,1997,April,4,710,838,84,85,f,-9,na,-9,-9,-9,24.7,24,25,1972
sw970409-11,sw,1997,April,4,732,864,86,85,m,-9,na,-9,-9,-9,25.7,25,26,1971
sw970409-16,sw,1997,April,4,800,944,94,95,m,-9,na,-9,-9,-9,25.7,25,26,1971
sw970409-23,sw,1997,April,4,760,897,90,90,m,-9,na,-9,-9,-9,26.7,26,27,1970
sw970409-13,sw,1997,April,4,711,839,84,85,f,-9,na,-9,-9,-9,28.7,28,29,1968
sw970409-36,sw,1997,April,4,730,861,86,85,f,-9,na,-9,-9,-9,29.7,29,30,1967
sw970409-35,sw,1997,April,4,725,855,86,85,m,-9,na,-9,-9,-9,30.7,30,31,1966
SW970831-238,sw,1997,Aug,8,381,450,45,45,f,-9,na,-9,-9,-9,6,6,6,1991
SW970831-226,sw,1997,Aug,8,450,531,53,55,f,-9,na,-9,-9,-9,7,7,7,1990
SW970831-244,sw,1997,Aug,8,475,561,56,55,m,-9,na,-9,-9,-9,7,7,7,1990
SW970831-227,sw,1997,Aug,8,475,561,56,55,f,-9,na,-9,-9,-9,8,8,8,1989
sw970831-234,sw,1997,Aug,8,590,696,70,70,f,-9,na,-9,-9,-9,8,8,8,1989
SW970831-228,sw,1997,Aug,8,638,753,75,75,f,-9,na,-9,-9,-9,11,11,11,1986
SW970831-241,sw,1997,Aug,8,651,768,77,75,m,-9,na,-9,-9,-9,13,13,13,1984
SW970831-245,sw,1997,Aug,8,748,883,88,90,m,-9,na,-9,-9,-9,14,14,14,1983
sw970831-248,sw,1997,Aug,8,715,844,84,85,m,-9,na,-9,-9,-9,16,16,16,1981
sw970831-242,sw,1997,Aug,8,708,835,84,85,m,-9,na,-9,-9,-9,21,21,21,1976
SW970831-246,sw,1997,Aug,8,752,887,89,90,m,-9,na,-9,-9,-9,24,24,24,1973
sw970831-243,sw,1997,Aug,8,732,864,86,85,m,-9,na,-9,-9,-9,25,25,25,1972
SW970731-15,sw,1997,July,7,495,584,58,60,f,-9,na,-9,-9,-9,6.9,6,7,1990
SW970731-18,sw,1997,July,7,450,531,53,55,m,-9,na,-9,-9,-9,6.9,6,7,1990
SW970731-8,sw,1997,July,7,530,626,63,65,m,-9,na,-9,-9,-9,6.9,6,7,1990
SW970731-14,sw,1997,July,7,568,670,67,65,m,-9,na,-9,-9,-9,7.9,7,8,1989
SW970731-2,sw,1997,July,7,463,547,55,55,m,-9,na,-9,-9,-9,7.9,7,8,1989
SW970731-20,sw,1997,July,7,680,802,80,80,f,-9,na,-9,-9,-9,7.9,7,8,1989
SW970731-34,sw,1997,July,7,712,840,84,85,f,-9,na,-9,-9,-9,7.9,7,8,1989
SW970731-36,sw,1997,July,7,705,832,83,85,m,-9,na,-9,-9,-9,7.9,7,8,1989
SW970731-6,sw,1997,July,7,580,684,68,70,m,-9,na,-9,-9,-9,7.9,7,8,1989
SW970731-21,sw,1997,July,7,705,832,83,85,m,-9,na,-9,-9,-9,9.9,9,10,1987
sw970731-22,sw,1997,July,7,680,802,80,80,m,-9,na,-9,-9,-9,10.9,10,11,1986
sw970731-29,sw,1997,July,7,572,675,68,70,f,-9,na,-9,-9,-9,10.9,10,11,1986
SW970731-35,sw,1997,July,7,595,702,70,70,f,-9,na,-9,-9,-9,12.9,12,13,1984
SW970731-30,sw,1997,July,7,700,826,83,85,m,-9,na,-9,-9,-9,17.9,17,18,1979
SW970731-27,sw,1997,July,7,700,826,83,85,f,-9,na,-9,-9,-9,19.9,19,20,1977
sw970606-4,sw,1997,June,6,520,614,61,60,f,-9,na,-9,-9,-9,6.8,6,7,1990
SW971015-18,sw,1997,Oct,10,222,262,26,25,f,-9,na,-9,-9,-9,2.2,2,2,1995
sw971015-18,sw,1997,Oct,10,222,262,26,25,f,-9,na,-9,-9,-9,2.2,2,2,1995
SW971015-22,sw,1997,Oct,10,189,224,22,20,m,-9,na,-9,-9,-9,2.2,2,2,1995
sw971015-22,sw,1997,Oct,10,189,224,22,20,m,-9,na,-9,-9,-9,2.2,2,2,1995
SW971015-14,sw,1997,Oct,10,259,306,31,30,f,-9,na,-9,-9,-9,4.2,4,4,1993
sw971015-14,sw,1997,Oct,10,259,306,31,30,f,-9,na,-9,-9,-9,4.2,4,4,1993
sw971014-1,sw,1997,Oct,10,593,700,70,70,m,-9,na,-9,-9,-9,6.2,6,6,1991
sw971014-11,sw,1997,Oct,10,576,680,68,70,f,-9,na,-9,-9,-9,7.2,7,7,1990
sw971014-2,sw,1997,Oct,10,545,643,64,65,f,-9,na,-9,-9,-9,7.2,7,7,1990
sw971014-3,sw,1997,Oct,10,552,651,65,65,f,-9,na,-9,-9,-9,8.2,8,8,1989
sw970901-254,sw,1997,Sept,9,444,524,52,50,m,-9,na,-9,-9,-9,6.1,6,6,1991
SW970915-124,sw,1997,Sept,9,545,643,64,65,m,-9,na,-9,-9,-9,6.1,6,6,1991
SW970915-122,sw,1997,Sept,9,492,581,58,60,f,-9,na,-9,-9,-9,7.1,7,7,1990
SW970915-123,sw,1997,Sept,9,583,688,69,70,m,-9,na,-9,-9,-9,7.1,7,7,1990
SW970915-126,sw,1997,Sept,9,585,690,69,70,f,-9,na,-9,-9,-9,7.1,7,7,1990
sw970915-129,sw,1997,Sept,9,553,653,65,65,f,-9,na,-9,-9,-9,7.1,7,7,1990
SW970915-132,sw,1997,Sept,9,632,746,75,75,m,-9,na,-9,-9,-9,7.1,7,7,1990
SW970915-158,sw,1997,Sept,9,660,779,78,80,m,-9,na,-9,-9,-9,7.1,7,7,1990
sw970915-127,sw,1997,Sept,9,563,664,66,65,m,-9,na,-9,-9,-9,8.1,8,8,1989
SW970915-134,sw,1997,Sept,9,625,738,74,75,m,-9,na,-9,-9,-9,8.1,8,8,1989
sw970915-148,sw,1997,Sept,9,567,669,67,65,m,-9,na,-9,-9,-9,8.1,8,8,1989
SW970915-125,sw,1997,Sept,9,623,735,74,75,m,-9,na,-9,-9,-9,8.1,8,8,1989
SW970915-154,sw,1997,Sept,9,662,781,78,80,m,-9,na,-9,-9,-9,8.1,8,8,1989
SW970915-150,sw,1997,Sept,9,730,861,86,85,m,-9,na,-9,-9,-9,10.1,10,10,1987
sw970915-139,sw,1997,Sept,9,660,779,78,80,m,-9,na,-9,-9,-9,11.1,11,11,1986
sw970915-136,sw,1997,Sept,9,724,854,85,85,m,-9,na,-9,-9,-9,13.1,13,13,1984
SW970915-155,sw,1997,Sept,9,632,746,75,75,f,-9,na,-9,-9,-9,14.1,14,14,1983
SW970915-159,sw,1997,Sept,9,695,820,82,80,f,-9,na,-9,-9,-9,16.1,16,16,1981
sw970915-157,sw,1997,Sept,9,712,840,84,85,m,-9,na,-9,-9,-9,18.1,18,18,1979
SW970915-151,sw,1997,Sept,9,735,867,87,85,m,-9,na,-9,-9,-9,20.1,20,20,1977
SW970915-149,sw,1997,Sept,9,725,855,86,85,m,-9,na,-9,-9,-9,21.1,21,21,1976
SW970915-160,sw,1997,Sept,9,740,873,87,85,m,-9,na,-9,-9,-9,26.1,26,26,1971
sw980413-12,sw,1998,April,4,491,580,58,60,f,-9,na,-9,-9,-9,7.7,7,8,1990
SW980413-18,sw,1998,April,4,607,716,72,70,m,-9,na,-9,-9,-9,7.7,7,8,1990
sw980413-21,sw,1998,April,4,503,594,59,60,f,-9,na,-9,-9,-9,7.7,7,8,1990
sw980413-24,sw,1998,April,4,530,626,63,65,f,-9,na,-9,-9,-9,7.7,7,8,1990
sw980413-28,sw,1998,April,4,520,614,61,60,m,-9,na,-9,-9,-9,7.7,7,8,1990
sw980413-17,sw,1998,April,4,515,608,61,60,m,-9,na,-9,-9,-9,8.7,8,9,1989
sw980413-23,sw,1998,April,4,450,531,53,55,f,-9,na,-9,-9,-9,8.7,8,9,1989
sw980409-15,sw,1998,April,4,723,853,85,85,m,-9,na,-9,-9,-9,18.7,18,19,1979
sw980409-14,sw,1998,April,4,734,866,87,85,m,-9,na,-9,-9,-9,23.7,23,24,1974
sw980823-10,sw,1998,Aug,8,644,760,76,75,f,-9,na,-9,-9,-9,8,8,8,1990
SW980823-21,sw,1998,Aug,8,632,746,75,75,m,-9,na,-9,-9,-9,8,8,8,1990
sw980824-5,sw,1998,Aug,8,641,756,76,75,m,-9,na,-9,-9,-9,8,8,8,1990
sw980824-9,sw,1998,Aug,8,572,675,68,70,m,-9,na,-9,-9,-9,8,8,8,1990
sw980825-1,sw,1998,Aug,8,634,748,75,75,f,-9,na,-9,-9,-9,8,8,8,1990
sw980825-2,sw,1998,Aug,8,636,750,75,75,f,-9,na,-9,-9,-9,8,8,8,1990
sw980825-5,sw,1998,Aug,8,647,763,76,75,f,-9,na,-9,-9,-9,8,8,8,1990
sw980825-8,sw,1998,Aug,8,580,684,68,70,m,-9,na,-9,-9,-9,8,8,8,1990
sw980823-11,sw,1998,Aug,8,607,716,72,70,f,-9,na,-9,-9,-9,9,9,9,1989
SW980823-12,sw,1998,Aug,8,634,748,75,75,m,-9,na,-9,-9,-9,9,9,9,1989
sw980823-20,sw,1998,Aug,8,564,666,67,65,m,-9,na,-9,-9,-9,9,9,9,1989
sw980823-22,sw,1998,Aug,8,656,774,77,75,f,-9,na,-9,-9,-9,9,9,9,1989
sw980823-23,sw,1998,Aug,8,651,768,77,75,f,-9,na,-9,-9,-9,9,9,9,1989
sw980824-10,sw,1998,Aug,8,650,767,77,75,m,-9,na,-9,-9,-9,9,9,9,1989
sw980824-16,sw,1998,Aug,8,662,781,78,80,f,-9,na,-9,-9,-9,9,9,9,1989
sw980824-2,sw,1998,Aug,8,584,689,69,70,m,-9,na,-9,-9,-9,9,9,9,1989
sw980824-3,sw,1998,Aug,8,559,660,66,65,m,-9,na,-9,-9,-9,9,9,9,1989
SW980824-6,sw,1998,Aug,8,642,758,76,75,f,-9,na,-9,-9,-9,9,9,9,1989
sw980824-7,sw,1998,Aug,8,679,801,80,80,f,-9,na,-9,-9,-9,9,9,9,1989
sw980823-19,sw,1998,Aug,8,654,772,77,75,f,-9,na,-9,-9,-9,10,10,10,1988
sw980824-4,sw,1998,Aug,8,651,768,77,75,m,-9,na,-9,-9,-9,10,10,10,1988
sw980825-9,sw,1998,Aug,8,623,735,74,75,m,-9,na,-9,-9,-9,10,10,10,1988
sw980823-16,sw,1998,Aug,8,665,785,78,80,m,-9,na,-9,-9,-9,12,12,12,1986
sw980823-2,sw,1998,Aug,8,743,877,88,90,m,-9,na,-9,-9,-9,15,15,15,1983
sw980823-8,sw,1998,Aug,8,703,829,83,85,m,-9,na,-9,-9,-9,21,21,21,1977
sw980824-15,sw,1998,Aug,8,758,894,89,90,f,-9,na,-9,-9,-9,26,26,26,1972
sw980722-23,sw,1998,July,7,480,567,57,55,m,-9,na,-9,-9,-9,5.9,5,6,1992
sw980703-12,sw,1998,July,7,565,667,67,65,m,-9,na,-9,-9,-9,7.9,7,8,1990
sw980703-14,sw,1998,July,7,565,667,67,65,m,-9,na,-9,-9,-9,7.9,7,8,1990
sw980703-11,sw,1998,July,7,610,720,72,70,f,-9,na,-9,-9,-9,8.9,8,9,1989
sw980703-15,sw,1998,July,7,606,715,72,70,m,-9,na,-9,-9,-9,8.9,8,9,1989
SW980703-18,sw,1998,July,7,677,799,80,80,f,-9,na,-9,-9,-9,12.9,12,13,1985
sw981006-3,sw,1998,Oct,10,702,828,83,85,m,-9,na,-9,-9,-9,13.2,13,13,1985
SW981012-3,sw,1998,Oct,10,670,791,79,80,f,-9,na,-9,-9,-9,14.2,14,14,1984
sw981006-4,sw,1998,Oct,10,766,904,90,90,m,-9,na,-9,-9,-9,24.2,24,24,1974
sw981006-5,sw,1998,Oct,10,780,920,92,90,m,-9,na,-9,-9,-9,26.2,26,26,1972
SW980928-11,sw,1998,Sept,9,630,743,74,75,f,-9,na,-9,-9,-9,8.1,8,8,1990
sw980928-3,sw,1998,Sept,9,625,738,74,75,f,-9,na,-9,-9,-9,8.1,8,8,1990
sw980928-4,sw,1998,Sept,9,657,775,78,80,f,-9,na,-9,-9,-9,8.1,8,8,1990
sw980925-1,sw,1998,Sept,9,667,787,79,80,f,-9,na,-9,-9,-9,9.1,9,9,1989
SW980928-6,sw,1998,Sept,9,658,776,78,80,m,-9,na,-9,-9,-9,9.1,9,9,1989
sw980901-2,sw,1998,Sept,9,720,850,85,85,f,-9,na,-9,-9,-9,10.1,10,10,1988
sw980928-9,sw,1998,Sept,9,594,701,70,70,f,-9,na,-9,-9,-9,10.1,10,10,1988
sw980901-4,sw,1998,Sept,9,699,825,82,80,f,-9,na,-9,-9,-9,12.1,12,12,1986
sw980928-5,sw,1998,Sept,9,664,783,78,80,f,-9,na,-9,-9,-9,14.1,14,14,1984
SW990831-6,sw,1999,Aug,8,303,358,36,35,m,-9,na,-9,-9,-9,3,3,3,1996
SW990830-3,sw,1999,Aug,8,317,374,37,35,f,-9,na,-9,-9,-9,4,4,4,1995
